document_id,title,doc_role,include_status,source_format,raw_figure_count,page_render_count,embedded_image_count,missing_bbox_count,generic_caption_count,status,priority,recommended_action,queue_build_status,queue_review_item_count,queue_review_required_count,queue_support_render_count,queue_deferred_hold_count,reviewed_count,review_pending_count,dashboard_keep_count,notes
DOC-POL-013,범부처 기술관리체계 정비 및 협업 강화 방향,policy_source,hold,hwpx,30,0,30,30,29,deferred_hold_queue_built,none,optional_benchmark_or_hold_review_only_if_scope_changes,,30,0,0,30,,,,
DOC-POL-005,연구개발 생태계 혁신방안,policy_source,include,hwpx,127,0,127,127,126,manual_review_complete,none,none,,127,127,0,0,127,0,14,
DOC-POL-002,AI-바이오 국가전략,policy_source,include,hwpx,62,0,62,62,61,manual_review_complete,none,none,,62,62,0,0,62,0,32,
DOC-POL-007,AI반도체 산업 도약 전략,policy_source,include,hwpx,56,0,56,56,54,manual_review_complete,none,none,,56,56,0,0,56,0,36,
DOC-POL-010,과학기술분야 출연(연) 정책방향,policy_source,include,hwpx,34,0,34,34,33,manual_review_complete,none,none,,34,34,0,0,34,0,0,
DOC-POL-004,과학기술xAI 국가전략,policy_source,include,hwpx,27,0,27,27,26,manual_review_complete,none,none,,27,27,0,0,27,0,13,
DOC-POL-009,기초연구 생태계 육성 방안,policy_source,include,hwpx,27,0,27,27,26,manual_review_complete,none,none,,27,27,0,0,27,0,16,
DOC-POL-003,제조AX 추진방향,policy_source,include,hwpx,10,0,10,10,9,manual_review_complete,none,none,,10,10,0,0,10,0,1,
DOC-POL-011,AI시대 대한민국 네트워크 전략,policy_source,include,hwpx,8,0,8,8,7,manual_review_complete,none,none,,8,8,0,0,8,0,2,
DOC-POL-012,정부 AX사업 전주기 원스톱 지원방안,policy_source,include,hwpx,3,0,3,3,2,manual_review_complete,none,none,,3,3,0,0,3,0,0,
DOC-POL-008,"민간투자연계, 팁스 R&D 확산방안",policy_source,include,hwpx,2,0,2,2,1,manual_review_complete,none,none,,2,2,0,0,2,0,1,
DOC-REF-001,정책-항목 구성(안),working_note,support,pdf,12,12,0,12,12,support_render_only,none,none,,12,0,12,0,,,,
DOC-CTX-002,기술분야 개요 사이버보안,context_note,support,pdf,1,1,0,1,1,support_render_only,none,none,,1,0,1,0,,,,
DOC-CTX-003,기술분야 개요 소재,context_note,support,pdf,1,1,0,1,1,support_render_only,none,none,,1,0,1,0,,,,
DOC-CTX-004,기술분야 개요 양자,context_note,support,pdf,1,1,0,1,1,support_render_only,none,none,,1,0,1,0,,,,
DOC-REF-002,정책기술분야별 재구성(안),working_note,support,pdf,1,1,0,1,1,support_render_only,none,none,,1,0,1,0,,,,
