policy_item_content_evidence_link_id,policy_item_content_id,derived_representation_id,link_role,evidence_strength,is_primary,sort_order,notes
PCEL-EXP-TD-002-01-01-01,PIC-EXP-TD-002-01-01,DRV-PAR-DOC-POL-001-00579,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00044
PCEL-EXP-TD-002-02-01-01,PIC-EXP-TD-002-02-01,DRV-PAR-DOC-POL-001-00874,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00694
PCEL-EXP-TD-003-03-01-01,PIC-EXP-TD-003-03-01,DRV-PAR-DOC-POL-001-00971,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00670
PCEL-EXP-TD-004-04-01-01,PIC-EXP-TD-004-04-01,DRV-PAR-DOC-POL-001-01955,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00158
PCEL-EXP-TD-004-05-01-01,PIC-EXP-TD-004-05-01,DRV-PAR-DOC-POL-001-00111,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00739
PCEL-EXP-TD-005-06-01-01,PIC-EXP-TD-005-06-01,DRV-PAR-DOC-POL-001-00571,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00600
PCEL-EXP-TD-005-07-01-01,PIC-EXP-TD-005-07-01,DRV-PAR-DOC-POL-002-00151,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-002-01096
PCEL-EXP-TD-006-08-01-01,PIC-EXP-TD-006-08-01,DRV-PAR-DOC-POL-001-00462,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00308
PCEL-EXP-TD-007-09-01-01,PIC-EXP-TD-007-09-01,DRV-PAR-DOC-POL-011-00031,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-004-01275
PCEL-EXP-TD-007-10-01-01,PIC-EXP-TD-007-10-01,DRV-PAR-DOC-POL-011-00060,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-004-01298
PCEL-EXP-TD-008-11-01-01,PIC-EXP-TD-008-11-01,DRV-PAR-DOC-POL-001-00426,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00350
PCEL-EXP-TD-008-12-01-01,PIC-EXP-TD-008-12-01,DRV-PAR-DOC-POL-003-00098,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-006-01398
PCEL-EXP-TD-010-13-01-01,PIC-EXP-TD-010-13-01,DRV-PAR-DOC-POL-009-00227,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-007-01539
PCEL-EXP-TD-012-14-01-01,PIC-EXP-TD-012-14-01,DRV-PAR-DOC-POL-001-01371,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00667
PCEL-EXP-TD-012-15-01-01,PIC-EXP-TD-012-15-01,DRV-PAR-DOC-POL-001-00547,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00455
PCEL-EXP-TD-013-16-01-01,PIC-EXP-TD-013-16-01,DRV-PAR-DOC-POL-001-01375,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00248
PCEL-EXP-TD-013-17-01-01,PIC-EXP-TD-013-17-01,DRV-PAR-DOC-POL-001-01042,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00731
PCEL-EXP-TD-014-18-01-01,PIC-EXP-TD-014-18-01,DRV-PAR-DOC-POL-001-00592,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00628
PCEL-EXP-TD-014-19-01-01,PIC-EXP-TD-014-19-01,DRV-PAR-DOC-POL-001-01311,primary_support,medium,1,1,expand draft from PIC-PROV-ITM-POL-001-00907
