policy_item_group_taxonomy_map_id,policy_item_group_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PGTM-EXP-TD-002-01-01,PIG-EXP-TD-002-01,tech_domain,TD-002,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00044 (auto_mapped)
PGTM-EXP-TD-002-01-02,PIG-EXP-TD-002-01,strategy,STR-006,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00044 (reviewed_manual)
PGTM-EXP-TD-002-01-03,PIG-EXP-TD-002-01,strategy,STR-015,0,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00044 (reviewed_manual)
PGTM-EXP-TD-002-02-01,PIG-EXP-TD-002-02,tech_domain,TD-002,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00694 (auto_mapped)
PGTM-EXP-TD-002-02-02,PIG-EXP-TD-002-02,strategy,STR-001,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00694 (reviewed_manual)
PGTM-EXP-TD-002-02-03,PIG-EXP-TD-002-02,strategy,STR-004,0,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00694 (reviewed_manual)
PGTM-EXP-TD-002-02-04,PIG-EXP-TD-002-02,strategy,STR-006,0,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00694 (reviewed_manual)
PGTM-EXP-TD-003-03-01,PIG-EXP-TD-003-03,tech_domain,TD-003,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00670 (auto_mapped)
PGTM-EXP-TD-003-03-02,PIG-EXP-TD-003-03,strategy,STR-002,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00670 (auto_mapped)
PGTM-EXP-TD-004-04-01,PIG-EXP-TD-004-04,tech_domain,TD-004,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00158 (auto_mapped)
PGTM-EXP-TD-004-04-02,PIG-EXP-TD-004-04,strategy,STR-001,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00158 (reviewed_manual)
PGTM-EXP-TD-004-04-03,PIG-EXP-TD-004-04,strategy,STR-008,0,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00158 (reviewed_manual)
PGTM-EXP-TD-004-04-04,PIG-EXP-TD-004-04,strategy,STR-012,0,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00158 (reviewed_manual)
PGTM-EXP-TD-004-05-01,PIG-EXP-TD-004-05,tech_domain,TD-004,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00739 (auto_mapped)
PGTM-EXP-TD-004-05-02,PIG-EXP-TD-004-05,strategy,STR-013,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00739 (reviewed_manual)
PGTM-EXP-TD-005-06-01,PIG-EXP-TD-005-06,tech_domain,TD-005,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00600 (auto_mapped)
PGTM-EXP-TD-005-06-02,PIG-EXP-TD-005-06,tech_domain,TD-011,0,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00600 (auto_mapped)
PGTM-EXP-TD-005-06-03,PIG-EXP-TD-005-06,tech_subdomain,TSD-011-001,0,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00600 (auto_mapped)
PGTM-EXP-TD-005-06-04,PIG-EXP-TD-005-06,strategy,STR-003,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-001-00600 (auto_mapped)
PGTM-EXP-TD-005-07-01,PIG-EXP-TD-005-07,tech_domain,TD-005,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-002-01096 (auto_mapped)
PGTM-EXP-TD-005-07-02,PIG-EXP-TD-005-07,strategy,STR-003,1,high,reviewed,expand draft from PIG-PROV-ITM-POL-002-01096 (auto_mapped)
PGTM-EXP-TD-006-08-01,PIG-EXP-TD-006-08,tech_domain,TD-006,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00308 (auto_mapped)
PGTM-EXP-TD-006-08-02,PIG-EXP-TD-006-08,tech_subdomain,TSD-006-006,1,medium,reviewed,expand draft from PIG-PROV-ITM-POL-001-00308 (auto_mapped)
