paragraph_id,document_id,page_no,page_block_order,block_type,text,source_line_count,merged_block_count,normalization_actions,source_mode
PAR-DOC-BMK-002-00001,DOC-BMK-002,1,1,paragraph,EN Official Journal of the European Union,2,1,,bbox_text
PAR-DOC-BMK-002-00002,DOC-BMK-002,1,2,heading,12.5.2021 L 170/1,2,1,,bbox_text
PAR-DOC-BMK-002-00003,DOC-BMK-002,1,3,paragraph,I (Legislative acts),2,2,merged_continuation,bbox_text
PAR-DOC-BMK-002-00004,DOC-BMK-002,1,4,paragraph,REGULATIONS,1,1,,bbox_text
PAR-DOC-BMK-002-00005,DOC-BMK-002,1,5,paragraph,"REGULATION (EU) 2021/695 OF THE EUROPEAN PARLIAMENT AND OF THE COUNCIL of 28 April 2021 establishing Horizon Europe – the Framework Programme for Research and Innovation, laying down its rules for participation and dissemination, and repealing Regulations (EU) No 1290/2013 and (EU) No 1291/2013 (Text with EEA relevance) THE EUROPEAN PARLIAMENT AND THE COUNCIL OF THE EUROPEAN UNION, Having regard to the Treaty on the Functioning of the European Union, and in particular Article 173(3), Article 182(1), Article 183, and the second paragraph of Article 188 thereof, Having regard to the proposal from the European Commission, After transmission of the draft legislative act to the national parliaments, Having regard to the opinions of the European Economic and Social Committee (1), Having regard to the opinion of the Committee of the Regions (2), Acting in accordance with the ordinary legislative procedure (3), Whereas:",15,12,merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation|merged_continuation,bbox_text
PAR-DOC-BMK-002-00006,DOC-BMK-002,1,6,paragraph,"(1) It is an objective of the Union to strengthen its scientific and technological bases by strengthening the European research area (ERA) in which researchers, scientific knowledge and technology circulate freely and encouraging it to become more competitive, including in its industry, while promoting all research and innovation (R&I) activities to deliver on the Union's strategic priorities and commitments, which ultimately aim to promote peace, the Union's values and the well-being of its peoples.",6,1,,bbox_text
PAR-DOC-BMK-002-00007,DOC-BMK-002,1,7,paragraph,"(2) To deliver scientific, technological, economic, environmental and societal impact in pursuit of this general objective and to maximise the added value of the Union's R&I investments, the Union should invest in R&I through Horizon Europe - the Framework Programme for Research and Innovation 2021-2027 (the 'Programme'). The Programme should support the creation, better diffusion and transfer of high-quality and excellent knowledge and high-quality technologies in the Union, attract talent at all levels and contribute to full engagement of the Union's talent pool, facilitate collaborative links and strengthen the impact of R&I in developing, supporting and implementing Union policies, support and strengthen the uptake and deployment of innovative and sustainable solutions in the Union's economy, in particular in small and medium-sized enterprises (SMEs), and in society, address global challenges, including climate change and the United Nations Sustainable Development Goals (SDGs), create jobs, boost economic growth, promote industrial competitiveness and boost the attractiveness of the Union in the field of R&I. The Programme should foster all forms of innovation, including breakthrough innovation, foster market deployment of innovative solutions, and optimise the delivery of such investment for increased impact within a strengthened ERA.",14,1,,bbox_text
PAR-DOC-BMK-002-00008,DOC-BMK-002,1,8,paragraph,"(1) OJ C 62, 15.2.2019, p. 33 and OJ C 364, 28.10.2020, p. 124. (2) OJ C 461, 21.12.2018, p. 79. (3) Position of the European Parliament of 17 April 2019 (not yet published in the Official Journal) and position of the Council at first reading of 16 March 2021 (not yet published in the Official Journal). Position of the European Parliament of … (not yet published in the Official Journal).",5,1,,bbox_text
PAR-DOC-BMK-002-00009,DOC-BMK-002,2,1,paragraph,EN Official Journal of the European Union L 170/2,3,1,,bbox_text
PAR-DOC-BMK-002-00010,DOC-BMK-002,2,2,heading,12.5.2021,1,1,,bbox_text
PAR-DOC-BMK-002-00011,DOC-BMK-002,2,3,paragraph,"(3) The Programme should be established for the duration of the multiannual financial framework (MFF) 2021-2027 as laid down in Council Regulation (EU, Euratom) 2020/2093 (4), without prejudice to the time limits set out in Council Regulation (EU) 2020/2094 (5).",4,1,,bbox_text
PAR-DOC-BMK-002-00012,DOC-BMK-002,2,4,paragraph,"(4) The Programme should contribute to increasing public and private investment in R&I in Member States, thereby helping to reach an overall investment target of at least 3 % of the Union's gross domestic product (GDP) in research and development. Achieving that target would require Member States and the private sector to complement the Programme with their own reinforced investment actions in research, development and innovation.",5,1,,bbox_text
PAR-DOC-BMK-002-00013,DOC-BMK-002,2,5,paragraph,"(5) With a view to achieving the objectives of the Programme and while respecting the principle of excellence, the Programme should aim to strengthen, among other things, collaborative links in Europe thereby contributing to reducing the R&I divide.",4,1,,bbox_text
PAR-DOC-BMK-002-00014,DOC-BMK-002,2,6,paragraph,"(6) To help achieve Union policy objectives, activities supported under this Programme should, where relevant, take advantage of and inspire innovation-friendly regulation, in line with the innovation principle, to support a faster and more intensive transformation of the Union's substantial knowledge assets into innovation.",4,1,,bbox_text
PAR-DOC-BMK-002-00015,DOC-BMK-002,2,7,paragraph,"(7) The concepts of 'open science', 'open innovation' and 'open to the world' should ensure excellence and the impact of the Union's investment in R&I, while safeguarding the Union's interests.",3,1,,bbox_text
