derived_to_display_map_id,derived_representation_id,display_text_id,display_role,is_primary,notes
DTD-DRV-PAR-DOC-POL-001-02079,DRV-PAR-DOC-POL-001-02079,DSP-POL-001-00001,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00572,DRV-PAR-DOC-POL-001-00572,DSP-POL-001-00002,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00575,DRV-PAR-DOC-POL-001-00575,DSP-POL-001-00003,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00594,DRV-PAR-DOC-POL-001-00594,DSP-POL-001-00004,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00776,DRV-PAR-DOC-POL-001-00776,DSP-POL-001-00005,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00781,DRV-PAR-DOC-POL-001-00781,DSP-POL-001-00006,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00777,DRV-PAR-DOC-POL-001-00777,DSP-POL-001-00007,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01493,DRV-PAR-DOC-POL-001-01493,DSP-POL-001-00008,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00960,DRV-PAR-DOC-POL-001-00960,DSP-POL-001-00009,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00471,DRV-PAR-DOC-POL-001-00471,DSP-POL-001-00010,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00468,DRV-PAR-DOC-POL-001-00468,DSP-POL-001-00011,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00970,DRV-PAR-DOC-POL-001-00970,DSP-POL-001-00012,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00854,DRV-PAR-DOC-POL-001-00854,DSP-POL-001-00013,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00857,DRV-PAR-DOC-POL-001-00857,DSP-POL-001-00014,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00920,DRV-PAR-DOC-POL-001-00920,DSP-POL-001-00015,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00678,DRV-PAR-DOC-POL-001-00678,DSP-POL-001-00016,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00469,DRV-PAR-DOC-POL-001-00469,DSP-POL-001-00017,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00332,DRV-PAR-DOC-POL-001-00332,DSP-POL-001-00018,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01386,DRV-PAR-DOC-POL-001-01386,DSP-POL-001-00019,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01380,DRV-PAR-DOC-POL-001-01380,DSP-POL-001-00020,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00456,DRV-PAR-DOC-POL-001-00456,DSP-POL-001-00021,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01926,DRV-PAR-DOC-POL-001-01926,DSP-POL-001-00022,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01261,DRV-PAR-DOC-POL-001-01261,DSP-POL-001-00023,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01769,DRV-PAR-DOC-POL-001-01769,DSP-POL-001-00024,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00442,DRV-PAR-DOC-POL-001-00442,DSP-POL-001-00025,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00617,DRV-PAR-DOC-POL-001-00617,DSP-POL-001-00026,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00453,DRV-PAR-DOC-POL-001-00453,DSP-POL-001-00027,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00747,DRV-PAR-DOC-POL-001-00747,DSP-POL-001-00028,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01658,DRV-PAR-DOC-POL-001-01658,DSP-POL-001-00029,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00466,DRV-PAR-DOC-POL-001-00466,DSP-POL-001-00030,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01653,DRV-PAR-DOC-POL-001-01653,DSP-POL-001-00031,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-01839,DRV-PAR-DOC-POL-001-01839,DSP-POL-001-00032,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00425,DRV-PAR-DOC-POL-001-00425,DSP-POL-001-00033,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00409,DRV-PAR-DOC-POL-001-00409,DSP-POL-001-00034,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00473,DRV-PAR-DOC-POL-001-00473,DSP-POL-001-00035,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00460,DRV-PAR-DOC-POL-001-00460,DSP-POL-001-00036,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00396,DRV-PAR-DOC-POL-001-00396,DSP-POL-001-00037,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00399,DRV-PAR-DOC-POL-001-00399,DSP-POL-001-00038,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00682,DRV-PAR-DOC-POL-001-00682,DSP-POL-001-00039,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-001-00570,DRV-PAR-DOC-POL-001-00570,DSP-POL-001-00040,policy_item_summary,1,
