policy_item_evidence_link_id,policy_item_id,derived_representation_id,link_role,evidence_strength,is_primary,sort_order,notes
LNK-ITM-POL-001-00001,ITM-POL-001-00001,DRV-PAR-DOC-POL-001-02079,primary_support,medium,1,1,
LNK-ITM-POL-001-00002,ITM-POL-001-00002,DRV-PAR-DOC-POL-001-00572,primary_support,medium,1,1,
LNK-ITM-POL-001-00003,ITM-POL-001-00003,DRV-PAR-DOC-POL-001-00575,primary_support,medium,1,1,
LNK-ITM-POL-001-00004,ITM-POL-001-00004,DRV-PAR-DOC-POL-001-00594,primary_support,medium,1,1,
LNK-ITM-POL-001-00005,ITM-POL-001-00005,DRV-PAR-DOC-POL-001-00776,primary_support,medium,1,1,
LNK-ITM-POL-001-00006,ITM-POL-001-00006,DRV-PAR-DOC-POL-001-00781,primary_support,medium,1,1,
LNK-ITM-POL-001-00007,ITM-POL-001-00007,DRV-PAR-DOC-POL-001-00777,primary_support,medium,1,1,
LNK-ITM-POL-001-00008,ITM-POL-001-00008,DRV-PAR-DOC-POL-001-01493,primary_support,medium,1,1,
LNK-ITM-POL-001-00009,ITM-POL-001-00009,DRV-PAR-DOC-POL-001-00960,primary_support,medium,1,1,
LNK-ITM-POL-001-00010,ITM-POL-001-00010,DRV-PAR-DOC-POL-001-00471,primary_support,medium,1,1,
LNK-ITM-POL-001-00011,ITM-POL-001-00011,DRV-PAR-DOC-POL-001-00468,primary_support,medium,1,1,
LNK-ITM-POL-001-00012,ITM-POL-001-00012,DRV-PAR-DOC-POL-001-00970,primary_support,medium,1,1,
LNK-ITM-POL-001-00013,ITM-POL-001-00013,DRV-PAR-DOC-POL-001-00854,primary_support,medium,1,1,
LNK-ITM-POL-001-00014,ITM-POL-001-00014,DRV-PAR-DOC-POL-001-00857,primary_support,medium,1,1,
LNK-ITM-POL-001-00015,ITM-POL-001-00015,DRV-PAR-DOC-POL-001-00920,primary_support,medium,1,1,
LNK-ITM-POL-001-00016,ITM-POL-001-00016,DRV-PAR-DOC-POL-001-00678,primary_support,medium,1,1,
LNK-ITM-POL-001-00017,ITM-POL-001-00017,DRV-PAR-DOC-POL-001-00469,primary_support,medium,1,1,
