policy_item_taxonomy_map_id,policy_item_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PIT-ITM-POL-001-00002-STR-01,ITM-POL-001-00002,strategy,STR-003,1,high,auto_mapped,score=14
PIT-ITM-POL-001-00003-STR-01,ITM-POL-001-00003,strategy,STR-012,1,medium,auto_mapped,score=4
PIT-ITM-POL-001-00006-STR-01,ITM-POL-001-00006,strategy,STR-006,1,medium,auto_mapped,score=5
PIT-ITM-POL-001-00010-STR-01,ITM-POL-001-00010,strategy,STR-001,1,medium,auto_mapped,score=8
PIT-ITM-POL-001-00011-STR-01,ITM-POL-001-00011,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00012-STR-01,ITM-POL-001-00012,strategy,STR-002,1,high,auto_mapped,score=10
PIT-ITM-POL-001-00017-STR-01,ITM-POL-001-00017,strategy,STR-001,1,medium,auto_mapped,score=9
PIT-ITM-POL-001-00018-STR-01,ITM-POL-001-00018,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00019-STR-01,ITM-POL-001-00019,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00020-STR-01,ITM-POL-001-00020,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00021-STR-01,ITM-POL-001-00021,strategy,STR-001,1,high,auto_mapped,score=10
PIT-ITM-POL-001-00022-STR-01,ITM-POL-001-00022,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00023-STR-01,ITM-POL-001-00023,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00024-STR-01,ITM-POL-001-00024,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00025-STR-01,ITM-POL-001-00025,strategy,STR-002,1,high,auto_mapped,score=16
PIT-ITM-POL-001-00026-STR-01,ITM-POL-001-00026,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00027-STR-01,ITM-POL-001-00027,strategy,STR-001,1,high,auto_mapped,score=10
PIT-ITM-POL-001-00028-STR-01,ITM-POL-001-00028,strategy,STR-006,1,medium,auto_mapped,score=9
PIT-ITM-POL-001-00029-STR-01,ITM-POL-001-00029,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00030-STR-01,ITM-POL-001-00030,strategy,STR-001,1,high,auto_mapped,score=10
PIT-ITM-POL-001-00031-STR-01,ITM-POL-001-00031,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00032-STR-01,ITM-POL-001-00032,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00032-STR-02,ITM-POL-001-00032,strategy,STR-011,0,medium,auto_mapped,score=6
PIT-ITM-POL-001-00033-STR-01,ITM-POL-001-00033,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00034-STR-01,ITM-POL-001-00034,strategy,STR-001,1,high,auto_mapped,score=10
PIT-ITM-POL-001-00035-STR-01,ITM-POL-001-00035,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00036-STR-01,ITM-POL-001-00036,strategy,STR-001,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00036-STR-02,ITM-POL-001-00036,strategy,STR-011,0,medium,auto_mapped,score=5
PIT-ITM-POL-001-00037-STR-01,ITM-POL-001-00037,strategy,STR-001,1,medium,auto_mapped,score=9
PIT-ITM-POL-001-00037-STR-02,ITM-POL-001-00037,strategy,STR-004,0,medium,auto_mapped,score=7
PIT-ITM-POL-001-00038-STR-01,ITM-POL-001-00038,strategy,STR-001,1,high,auto_mapped,score=14
PIT-ITM-POL-001-00039-STR-01,ITM-POL-001-00039,strategy,STR-001,1,high,auto_mapped,score=11
PIT-ITM-POL-001-00040-STR-01,ITM-POL-001-00040,strategy,STR-003,1,high,auto_mapped,score=11
PIT-ITM-POL-001-00044-STR-01,ITM-POL-001-00044,strategy,STR-006,1,medium,auto_mapped,score=6
PIT-ITM-POL-001-00046-STR-01,ITM-POL-001-00046,strategy,STR-006,1,medium,auto_mapped,score=6
