policy_item_taxonomy_map_id,policy_item_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PIT-ITM-POL-001-00143-STR-005-R01,ITM-POL-001-00143,strategy,STR-005,1,medium,reviewed_manual,decision_key=SRD-POL-001-ab1c14a81c40
PIT-ITM-POL-001-00675-STR-005-R01,ITM-POL-001-00675,strategy,STR-005,1,medium,reviewed_manual,decision_key=SRD-POL-001-0b8be7b63563
PIT-ITM-POL-001-00130-STR-005-R01,ITM-POL-001-00130,strategy,STR-005,1,high,reviewed_manual,decision_key=SRD-POL-001-fb119c3ac91e
PIT-ITM-POL-001-00592-STR-002-R01,ITM-POL-001-00592,strategy,STR-002,1,high,reviewed_manual,decision_key=SRD-POL-001-1fb46ae11cea
PIT-ITM-POL-001-00840-STR-012-R01,ITM-POL-001-00840,strategy,STR-012,1,high,reviewed_manual,decision_key=SRD-POL-001-a5b1ef39bab1
PIT-ITM-POL-001-01076-STR-001-R01,ITM-POL-001-01076,strategy,STR-001,1,high,reviewed_manual,decision_key=SRD-POL-001-1efa43c3fb24
PIT-ITM-POL-001-00103-STR-006-R01,ITM-POL-001-00103,strategy,STR-006,1,high,reviewed_manual,decision_key=SRD-POL-001-3d500d3e4f44
PIT-ITM-POL-001-00281-STR-015-R01,ITM-POL-001-00281,strategy,STR-015,1,high,reviewed_manual,decision_key=SRD-POL-001-fa0676e55344
PIT-ITM-POL-001-00298-STR-002-R01,ITM-POL-001-00298,strategy,STR-002,1,high,reviewed_manual,decision_key=SRD-POL-001-f37a87b79bb6
PIT-ITM-POL-001-00434-STR-010-R01,ITM-POL-001-00434,strategy,STR-010,1,high,reviewed_manual,decision_key=SRD-POL-001-b7c6c2f050b4
PIT-ITM-POL-001-00719-STR-006-R01,ITM-POL-001-00719,strategy,STR-006,1,high,reviewed_manual,decision_key=SRD-POL-001-788b9c70f440
PIT-ITM-POL-001-00815-STR-011-R01,ITM-POL-001-00815,strategy,STR-011,1,medium,reviewed_manual,decision_key=SRD-POL-001-c0a4730849d5
PIT-ITM-POL-001-00821-STR-010-R01,ITM-POL-001-00821,strategy,STR-010,1,high,reviewed_manual,decision_key=SRD-POL-001-478f225fb7a9
PIT-ITM-POL-001-00880-STR-010-R01,ITM-POL-001-00880,strategy,STR-010,1,medium,reviewed_manual,decision_key=SRD-POL-001-e95b676ce38b
PIT-ITM-POL-001-00880-STR-003-R02,ITM-POL-001-00880,strategy,STR-003,0,medium,reviewed_manual,decision_key=SRD-POL-001-e95b676ce38b
PIT-ITM-POL-001-00044-STR-006-R01,ITM-POL-001-00044,strategy,STR-006,1,medium,reviewed_manual,decision_key=SRD-POL-001-279ca815ad84
PIT-ITM-POL-001-00044-STR-015-R02,ITM-POL-001-00044,strategy,STR-015,0,medium,reviewed_manual,decision_key=SRD-POL-001-279ca815ad84
PIT-ITM-POL-001-00046-STR-006-R01,ITM-POL-001-00046,strategy,STR-006,1,medium,reviewed_manual,decision_key=SRD-POL-001-14de4bae804e
PIT-ITM-POL-001-00056-STR-006-R01,ITM-POL-001-00056,strategy,STR-006,1,medium,reviewed_manual,decision_key=SRD-POL-001-08b3a2a679cc
PIT-ITM-POL-001-00102-STR-006-R01,ITM-POL-001-00102,strategy,STR-006,1,medium,reviewed_manual,decision_key=SRD-POL-001-55c93d0f3742
PIT-ITM-POL-001-00102-STR-012-R02,ITM-POL-001-00102,strategy,STR-012,0,medium,reviewed_manual,decision_key=SRD-POL-001-55c93d0f3742
PIT-ITM-POL-001-00106-STR-001-R01,ITM-POL-001-00106,strategy,STR-001,1,medium,reviewed_manual,decision_key=SRD-POL-001-c69e3f941edf
PIT-ITM-POL-001-00106-STR-008-R02,ITM-POL-001-00106,strategy,STR-008,0,medium,reviewed_manual,decision_key=SRD-POL-001-c69e3f941edf
PIT-ITM-POL-001-00157-STR-001-R01,ITM-POL-001-00157,strategy,STR-001,1,medium,reviewed_manual,decision_key=SRD-POL-001-4943ff201dde
PIT-ITM-POL-001-00157-STR-004-R02,ITM-POL-001-00157,strategy,STR-004,0,medium,reviewed_manual,decision_key=SRD-POL-001-4943ff201dde
PIT-ITM-POL-001-00157-STR-008-R03,ITM-POL-001-00157,strategy,STR-008,0,medium,reviewed_manual,decision_key=SRD-POL-001-4943ff201dde
PIT-ITM-POL-001-00158-STR-001-R01,ITM-POL-001-00158,strategy,STR-001,1,medium,reviewed_manual,decision_key=SRD-POL-001-414de668bc00
PIT-ITM-POL-001-00158-STR-008-R02,ITM-POL-001-00158,strategy,STR-008,0,medium,reviewed_manual,decision_key=SRD-POL-001-414de668bc00
PIT-ITM-POL-001-00158-STR-012-R03,ITM-POL-001-00158,strategy,STR-012,0,medium,reviewed_manual,decision_key=SRD-POL-001-414de668bc00
PIT-ITM-POL-001-00223-STR-006-R01,ITM-POL-001-00223,strategy,STR-006,1,medium,reviewed_manual,decision_key=SRD-POL-001-8cfa108d0eeb
PIT-ITM-POL-001-00259-STR-001-R01,ITM-POL-001-00259,strategy,STR-001,1,medium,reviewed_manual,decision_key=SRD-POL-001-c45f4f3c2414
PIT-ITM-POL-001-00259-STR-008-R02,ITM-POL-001-00259,strategy,STR-008,0,medium,reviewed_manual,decision_key=SRD-POL-001-c45f4f3c2414
PIT-ITM-POL-001-00259-STR-010-R03,ITM-POL-001-00259,strategy,STR-010,0,medium,reviewed_manual,decision_key=SRD-POL-001-c45f4f3c2414
PIT-ITM-POL-001-00307-STR-003-R01,ITM-POL-001-00307,strategy,STR-003,1,medium,reviewed_manual,decision_key=SRD-POL-001-48143a52cf88
PIT-ITM-POL-001-00338-STR-001-R01,ITM-POL-001-00338,strategy,STR-001,1,medium,reviewed_manual,decision_key=SRD-POL-001-c865e4c1ea3a
PIT-ITM-POL-001-00338-STR-008-R02,ITM-POL-001-00338,strategy,STR-008,0,medium,reviewed_manual,decision_key=SRD-POL-001-c865e4c1ea3a
PIT-ITM-POL-001-00338-STR-013-R03,ITM-POL-001-00338,strategy,STR-013,0,medium,reviewed_manual,decision_key=SRD-POL-001-c865e4c1ea3a
PIT-ITM-POL-001-00339-STR-006-R01,ITM-POL-001-00339,strategy,STR-006,1,medium,reviewed_manual,decision_key=SRD-POL-001-04b63b55e0a4
PIT-ITM-POL-001-00339-STR-015-R02,ITM-POL-001-00339,strategy,STR-015,0,medium,reviewed_manual,decision_key=SRD-POL-001-04b63b55e0a4
PIT-ITM-POL-001-00350-STR-013-R01,ITM-POL-001-00350,strategy,STR-013,1,high,reviewed_manual,decision_key=SRD-POL-001-6b502da06f85
PIT-ITM-POL-001-00350-STR-001-R02,ITM-POL-001-00350,strategy,STR-001,0,high,reviewed_manual,decision_key=SRD-POL-001-6b502da06f85
