source_asset_id,document_id,asset_type,mime_type,asset_path_or_url,page_no,section_id,bbox_json,thumbnail_path,quality_status,notes
SRC-DOC-BMK-002-0001,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,1,,,,derived_locator,Derived from document location 1
SRC-DOC-BMK-002-0002,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,10,,,,derived_locator,Derived from document location 10
SRC-DOC-BMK-002-0003,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,11,,,,derived_locator,Derived from document location 11
SRC-DOC-BMK-002-0004,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,12,,,,derived_locator,Derived from document location 12
SRC-DOC-BMK-002-0005,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,13,,,,derived_locator,Derived from document location 13
SRC-DOC-BMK-002-0006,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,14,,,,derived_locator,Derived from document location 14
SRC-DOC-BMK-002-0007,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,15,,,,derived_locator,Derived from document location 15
SRC-DOC-BMK-002-0008,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,16,,,,derived_locator,Derived from document location 16
SRC-DOC-BMK-002-0009,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,17,,,,derived_locator,Derived from document location 17
SRC-DOC-BMK-002-0010,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,18,,,,derived_locator,Derived from document location 18
SRC-DOC-BMK-002-0011,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,19,,,,derived_locator,Derived from document location 19
SRC-DOC-BMK-002-0012,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,2,,,,derived_locator,Derived from document location 2
SRC-DOC-BMK-002-0013,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,20,,,,derived_locator,Derived from document location 20
SRC-DOC-BMK-002-0014,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,21,,,,derived_locator,Derived from document location 21
SRC-DOC-BMK-002-0015,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,22,,,,derived_locator,Derived from document location 22
SRC-DOC-BMK-002-0016,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,23,,,,derived_locator,Derived from document location 23
SRC-DOC-BMK-002-0017,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,24,,,,derived_locator,Derived from document location 24
SRC-DOC-BMK-002-0018,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,25,,,,derived_locator,Derived from document location 25
SRC-DOC-BMK-002-0019,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,26,,,,derived_locator,Derived from document location 26
SRC-DOC-BMK-002-0020,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,27,,,,derived_locator,Derived from document location 27
SRC-DOC-BMK-002-0021,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,28,,,,derived_locator,Derived from document location 28
SRC-DOC-BMK-002-0022,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,29,,,,derived_locator,Derived from document location 29
SRC-DOC-BMK-002-0023,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,3,,,,derived_locator,Derived from document location 3
SRC-DOC-BMK-002-0024,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,30,,,,derived_locator,Derived from document location 30
SRC-DOC-BMK-002-0025,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,31,,,,derived_locator,Derived from document location 31
SRC-DOC-BMK-002-0026,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,32,,,,derived_locator,Derived from document location 32
SRC-DOC-BMK-002-0027,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,33,,,,derived_locator,Derived from document location 33
SRC-DOC-BMK-002-0028,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,34,,,,derived_locator,Derived from document location 34
SRC-DOC-BMK-002-0029,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,35,,,,derived_locator,Derived from document location 35
SRC-DOC-BMK-002-0030,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,36,,,,derived_locator,Derived from document location 36
SRC-DOC-BMK-002-0031,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,37,,,,derived_locator,Derived from document location 37
SRC-DOC-BMK-002-0032,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,38,,,,derived_locator,Derived from document location 38
SRC-DOC-BMK-002-0033,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,39,,,,derived_locator,Derived from document location 39
SRC-DOC-BMK-002-0034,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,4,,,,derived_locator,Derived from document location 4
SRC-DOC-BMK-002-0035,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,40,,,,derived_locator,Derived from document location 40
SRC-DOC-BMK-002-0036,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,41,,,,derived_locator,Derived from document location 41
SRC-DOC-BMK-002-0037,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,42,,,,derived_locator,Derived from document location 42
SRC-DOC-BMK-002-0038,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,43,,,,derived_locator,Derived from document location 43
SRC-DOC-BMK-002-0039,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,44,,,,derived_locator,Derived from document location 44
SRC-DOC-BMK-002-0040,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,45,,,,derived_locator,Derived from document location 45
SRC-DOC-BMK-002-0041,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,46,,,,derived_locator,Derived from document location 46
SRC-DOC-BMK-002-0042,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,47,,,,derived_locator,Derived from document location 47
SRC-DOC-BMK-002-0043,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,48,,,,derived_locator,Derived from document location 48
SRC-DOC-BMK-002-0044,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,49,,,,derived_locator,Derived from document location 49
SRC-DOC-BMK-002-0045,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,5,,,,derived_locator,Derived from document location 5
SRC-DOC-BMK-002-0046,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,50,,,,derived_locator,Derived from document location 50
SRC-DOC-BMK-002-0047,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,51,,,,derived_locator,Derived from document location 51
SRC-DOC-BMK-002-0048,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,52,,,,derived_locator,Derived from document location 52
SRC-DOC-BMK-002-0049,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,53,,,,derived_locator,Derived from document location 53
SRC-DOC-BMK-002-0050,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,54,,,,derived_locator,Derived from document location 54
SRC-DOC-BMK-002-0051,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,55,,,,derived_locator,Derived from document location 55
SRC-DOC-BMK-002-0052,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,56,,,,derived_locator,Derived from document location 56
SRC-DOC-BMK-002-0053,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,57,,,,derived_locator,Derived from document location 57
SRC-DOC-BMK-002-0054,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,58,,,,derived_locator,Derived from document location 58
SRC-DOC-BMK-002-0055,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,59,,,,derived_locator,Derived from document location 59
SRC-DOC-BMK-002-0056,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,6,,,,derived_locator,Derived from document location 6
SRC-DOC-BMK-002-0057,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,60,,,,derived_locator,Derived from document location 60
SRC-DOC-BMK-002-0058,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,61,,,,derived_locator,Derived from document location 61
SRC-DOC-BMK-002-0059,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,62,,,,derived_locator,Derived from document location 62
SRC-DOC-BMK-002-0060,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,63,,,,derived_locator,Derived from document location 63
SRC-DOC-BMK-002-0061,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,64,,,,derived_locator,Derived from document location 64
SRC-DOC-BMK-002-0062,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,65,,,,derived_locator,Derived from document location 65
SRC-DOC-BMK-002-0063,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,66,,,,derived_locator,Derived from document location 66
SRC-DOC-BMK-002-0064,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,67,,,,derived_locator,Derived from document location 67
SRC-DOC-BMK-002-0065,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,68,,,,derived_locator,Derived from document location 68
SRC-DOC-BMK-002-0066,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,7,,,,derived_locator,Derived from document location 7
SRC-DOC-BMK-002-0067,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,8,,,,derived_locator,Derived from document location 8
SRC-DOC-BMK-002-0068,DOC-BMK-002,pdf_page,application/pdf,tmp/DOC-BMK-002.pdf,9,,,,derived_locator,Derived from document location 9
SRC-DOC-BMK-005-0069,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,1,,,,derived_locator,Derived from document location 1
SRC-DOC-BMK-005-0070,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,10,,,,derived_locator,Derived from document location 10
SRC-DOC-BMK-005-0071,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,100,,,,derived_locator,Derived from document location 100
SRC-DOC-BMK-005-0072,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,101,,,,derived_locator,Derived from document location 101
SRC-DOC-BMK-005-0073,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,102,,,,derived_locator,Derived from document location 102
SRC-DOC-BMK-005-0074,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,103,,,,derived_locator,Derived from document location 103
SRC-DOC-BMK-005-0075,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,104,,,,derived_locator,Derived from document location 104
SRC-DOC-BMK-005-0076,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,105,,,,derived_locator,Derived from document location 105
SRC-DOC-BMK-005-0077,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,106,,,,derived_locator,Derived from document location 106
SRC-DOC-BMK-005-0078,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,107,,,,derived_locator,Derived from document location 107
SRC-DOC-BMK-005-0079,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,108,,,,derived_locator,Derived from document location 108
SRC-DOC-BMK-005-0080,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,109,,,,derived_locator,Derived from document location 109
SRC-DOC-BMK-005-0081,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,11,,,,derived_locator,Derived from document location 11
SRC-DOC-BMK-005-0082,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,110,,,,derived_locator,Derived from document location 110
SRC-DOC-BMK-005-0083,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,111,,,,derived_locator,Derived from document location 111
SRC-DOC-BMK-005-0084,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,112,,,,derived_locator,Derived from document location 112
SRC-DOC-BMK-005-0085,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,113,,,,derived_locator,Derived from document location 113
SRC-DOC-BMK-005-0086,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,114,,,,derived_locator,Derived from document location 114
SRC-DOC-BMK-005-0087,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,115,,,,derived_locator,Derived from document location 115
SRC-DOC-BMK-005-0088,DOC-BMK-005,pdf_page,application/pdf,tmp/DOC-BMK-005.pdf,116,,,,derived_locator,Derived from document location 116
