derived_to_display_map_id,derived_representation_id,display_text_id,display_role,is_primary,notes
DTD-ITM-POL-009-RV-00001-01,DRV-PAR-DOC-POL-010-00098,DSP-POL-009-RV-00001,policy_item_summary,1,
DTD-ITM-POL-009-RV-00002-01,DRV-PAR-DOC-POL-010-00110,DSP-POL-009-RV-00002,policy_item_summary,1,
DTD-ITM-POL-009-RV-00003-01,DRV-PAR-DOC-POL-010-00113,DSP-POL-009-RV-00003,policy_item_summary,1,
DTD-ITM-POL-009-RV-00004-01,DRV-PAR-DOC-POL-010-00115,DSP-POL-009-RV-00004,policy_item_summary,1,
DTD-ITM-POL-009-RV-00005-01,DRV-PAR-DOC-POL-010-00118,DSP-POL-009-RV-00005,policy_item_summary,1,
DTD-ITM-POL-009-RV-00006-01,DRV-PAR-DOC-POL-010-00123,DSP-POL-009-RV-00006,policy_item_summary,1,
DTD-ITM-POL-009-RV-00007-01,DRV-PAR-DOC-POL-010-00126,DSP-POL-009-RV-00007,policy_item_summary,1,
DTD-ITM-POL-009-RV-00008-01,DRV-PAR-DOC-POL-010-00132,DSP-POL-009-RV-00008,policy_item_summary,1,
DTD-ITM-POL-009-RV-00009-01,DRV-PAR-DOC-POL-010-00142,DSP-POL-009-RV-00009,policy_item_summary,1,
DTD-ITM-POL-009-RV-00010-01,DRV-PAR-DOC-POL-010-00145,DSP-POL-009-RV-00010,policy_item_summary,1,
DTD-ITM-POL-009-RV-00011-01,DRV-PAR-DOC-POL-010-00147,DSP-POL-009-RV-00011,policy_item_summary,1,
DTD-ITM-POL-009-RV-00012-01,DRV-PAR-DOC-POL-010-00155,DSP-POL-009-RV-00012,policy_item_summary,1,
DTD-ITM-POL-009-RV-00013-01,DRV-PAR-DOC-POL-010-00158,DSP-POL-009-RV-00013,policy_item_summary,1,
DTD-ITM-POL-009-RV-00014-01,DRV-PAR-DOC-POL-010-00164,DSP-POL-009-RV-00014,policy_item_summary,1,
DTD-ITM-POL-009-RV-00015-01,DRV-PAR-DOC-POL-010-00165,DSP-POL-009-RV-00015,policy_item_summary,1,
DTD-ITM-POL-009-RV-00016-01,DRV-PAR-DOC-POL-010-00166,DSP-POL-009-RV-00016,policy_item_summary,1,
DTD-ITM-POL-009-RV-00017-01,DRV-PAR-DOC-POL-010-00175,DSP-POL-009-RV-00017,policy_item_summary,1,
