policy_item_evidence_link_id,policy_item_id,derived_representation_id,link_role,evidence_strength,is_primary,sort_order,notes
LNK-ITM-POL-009-RV-00001-01,ITM-POL-009-RV-00001,DRV-PAR-DOC-POL-010-00098,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0045
LNK-ITM-POL-009-RV-00001-02,ITM-POL-009-RV-00001,DRV-PAR-DOC-POL-010-00099,secondary_support,medium,0,2,source_merge_candidate=PMD-DOC-POL-010-0045
LNK-ITM-POL-009-RV-00001-03,ITM-POL-009-RV-00001,DRV-PAR-DOC-POL-010-00101,secondary_support,medium,0,3,source_merge_candidate=PMD-DOC-POL-010-0045
LNK-ITM-POL-009-RV-00001-04,ITM-POL-009-RV-00001,DRV-PAR-DOC-POL-010-00103,secondary_support,medium,0,4,source_merge_candidate=PMD-DOC-POL-010-0045
LNK-ITM-POL-009-RV-00002-01,ITM-POL-009-RV-00002,DRV-PAR-DOC-POL-010-00110,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0048
LNK-ITM-POL-009-RV-00003-01,ITM-POL-009-RV-00003,DRV-PAR-DOC-POL-010-00113,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0050
LNK-ITM-POL-009-RV-00003-02,ITM-POL-009-RV-00003,DRV-PAR-DOC-POL-010-00114,secondary_support,medium,0,2,source_merge_candidate=PMD-DOC-POL-010-0050
LNK-ITM-POL-009-RV-00004-01,ITM-POL-009-RV-00004,DRV-PAR-DOC-POL-010-00115,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0051
LNK-ITM-POL-009-RV-00005-01,ITM-POL-009-RV-00005,DRV-PAR-DOC-POL-010-00118,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0053
LNK-ITM-POL-009-RV-00006-01,ITM-POL-009-RV-00006,DRV-PAR-DOC-POL-010-00123,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0056
LNK-ITM-POL-009-RV-00006-02,ITM-POL-009-RV-00006,DRV-PAR-DOC-POL-010-00124,secondary_support,medium,0,2,source_merge_candidate=PMD-DOC-POL-010-0056
LNK-ITM-POL-009-RV-00007-01,ITM-POL-009-RV-00007,DRV-PAR-DOC-POL-010-00126,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0057
LNK-ITM-POL-009-RV-00007-02,ITM-POL-009-RV-00007,DRV-PAR-DOC-POL-010-00129,secondary_support,medium,0,2,source_merge_candidate=PMD-DOC-POL-010-0057
LNK-ITM-POL-009-RV-00007-03,ITM-POL-009-RV-00007,DRV-PAR-DOC-POL-010-00127,secondary_support,medium,0,3,source_merge_candidate=PMD-DOC-POL-010-0057
LNK-ITM-POL-009-RV-00007-04,ITM-POL-009-RV-00007,DRV-PAR-DOC-POL-010-00128,secondary_support,medium,0,4,source_merge_candidate=PMD-DOC-POL-010-0057
LNK-ITM-POL-009-RV-00008-01,ITM-POL-009-RV-00008,DRV-PAR-DOC-POL-010-00132,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0060
LNK-ITM-POL-009-RV-00008-02,ITM-POL-009-RV-00008,DRV-PAR-DOC-POL-010-00133,secondary_support,medium,0,2,source_merge_candidate=PMD-DOC-POL-010-0060
LNK-ITM-POL-009-RV-00009-01,ITM-POL-009-RV-00009,DRV-PAR-DOC-POL-010-00142,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0063
LNK-ITM-POL-009-RV-00010-01,ITM-POL-009-RV-00010,DRV-PAR-DOC-POL-010-00145,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0065
LNK-ITM-POL-009-RV-00010-02,ITM-POL-009-RV-00010,DRV-PAR-DOC-POL-010-00146,secondary_support,medium,0,2,source_merge_candidate=PMD-DOC-POL-010-0065
LNK-ITM-POL-009-RV-00011-01,ITM-POL-009-RV-00011,DRV-PAR-DOC-POL-010-00147,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0066
LNK-ITM-POL-009-RV-00011-02,ITM-POL-009-RV-00011,DRV-PAR-DOC-POL-010-00148,secondary_support,medium,0,2,source_merge_candidate=PMD-DOC-POL-010-0066
LNK-ITM-POL-009-RV-00011-03,ITM-POL-009-RV-00011,DRV-PAR-DOC-POL-010-00149,secondary_support,medium,0,3,source_merge_candidate=PMD-DOC-POL-010-0066
LNK-ITM-POL-009-RV-00011-04,ITM-POL-009-RV-00011,DRV-PAR-DOC-POL-010-00150,secondary_support,medium,0,4,source_merge_candidate=PMD-DOC-POL-010-0066
LNK-ITM-POL-009-RV-00012-01,ITM-POL-009-RV-00012,DRV-PAR-DOC-POL-010-00155,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0069
LNK-ITM-POL-009-RV-00013-01,ITM-POL-009-RV-00013,DRV-PAR-DOC-POL-010-00158,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0071
LNK-ITM-POL-009-RV-00014-01,ITM-POL-009-RV-00014,DRV-PAR-DOC-POL-010-00164,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0075
LNK-ITM-POL-009-RV-00015-01,ITM-POL-009-RV-00015,DRV-PAR-DOC-POL-010-00165,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0076
LNK-ITM-POL-009-RV-00016-01,ITM-POL-009-RV-00016,DRV-PAR-DOC-POL-010-00166,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0077
LNK-ITM-POL-009-RV-00017-01,ITM-POL-009-RV-00017,DRV-PAR-DOC-POL-010-00175,primary_support,high,1,1,source_merge_candidate=PMD-DOC-POL-010-0080
LNK-ITM-POL-009-RV-00017-02,ITM-POL-009-RV-00017,DRV-PAR-DOC-POL-010-00176,secondary_support,medium,0,2,source_merge_candidate=PMD-DOC-POL-010-0080
