policy_item_content_evidence_link_id,policy_item_content_id,derived_representation_id,link_role,evidence_strength,is_primary,sort_order,notes
CEL-PIC-POL-002-01-01-01,PIC-POL-002-01-01,DRV-PAR-DOC-POL-002-00038,primary_support,high,1,1,ITM-POL-002-01081
CEL-PIC-POL-002-01-02-01,PIC-POL-002-01-02,DRV-PAR-DOC-POL-002-00014,primary_support,high,1,1,ITM-POL-002-01140
CEL-PIC-POL-002-02-01-01,PIC-POL-002-02-01,DRV-PAR-DOC-POL-002-00020,primary_support,high,1,1,ITM-POL-002-01179
CEL-PIC-POL-002-02-01-02,PIC-POL-002-02-01,DRV-PAR-DOC-POL-002-00189,secondary_support,medium,0,2,ITM-POL-002-01182
CEL-PIC-POL-002-02-01-03,PIC-POL-002-02-01,DRV-PAR-DOC-POL-002-00212,secondary_support,medium,0,3,ITM-POL-002-01188
CEL-PIC-POL-002-02-02-01,PIC-POL-002-02-02,DRV-PAR-DOC-POL-002-00215,primary_support,high,1,1,ITM-POL-002-01193
CEL-PIC-POL-002-02-02-02,PIC-POL-002-02-02,DRV-PAR-DOC-POL-002-00218,secondary_support,medium,0,2,ITM-POL-002-01194
CEL-PIC-POL-002-03-01-01,PIC-POL-002-03-01,DRV-PAR-DOC-POL-002-00231,primary_support,high,1,1,ITM-POL-002-01185
CEL-PIC-POL-002-03-01-02,PIC-POL-002-03-01,DRV-PAR-DOC-POL-002-00230,secondary_support,medium,0,2,ITM-POL-002-01187
CEL-PIC-POL-002-03-02-01,PIC-POL-002-03-02,DRV-PAR-DOC-POL-002-00026,primary_support,high,1,1,ITM-POL-002-01191
CEL-PIC-POL-002-03-02-02,PIC-POL-002-03-02,DRV-PAR-DOC-POL-002-00187,secondary_support,medium,0,2,ITM-POL-002-01192
CEL-PIC-POL-002-04-01-01,PIC-POL-002-04-01,DRV-PAR-DOC-POL-002-00191,primary_support,high,1,1,ITM-POL-002-01196
CEL-PIC-POL-011-01-01-01,PIC-POL-011-01-01,DRV-PAR-DOC-POL-012-00011,primary_support,high,1,1,ITM-POL-011-01898
CEL-PIC-POL-011-01-01-02,PIC-POL-011-01-01,DRV-PAR-DOC-POL-012-00061,secondary_support,medium,0,2,ITM-POL-011-01916
CEL-PIC-POL-011-01-02-01,PIC-POL-011-01-02,DRV-PAR-DOC-POL-012-00012,primary_support,high,1,1,ITM-POL-011-01912
CEL-PIC-POL-011-01-02-02,PIC-POL-011-01-02,DRV-PAR-DOC-POL-012-00059,secondary_support,medium,0,2,ITM-POL-011-01913
CEL-PIC-POL-011-02-01-01,PIC-POL-011-02-01,DRV-PAR-DOC-POL-012-00072,primary_support,high,1,1,ITM-POL-011-01902
CEL-PIC-POL-011-02-01-02,PIC-POL-011-02-01,DRV-PAR-DOC-POL-012-00071,secondary_support,medium,0,2,ITM-POL-011-01910
CEL-PIC-POL-011-02-01-03,PIC-POL-011-02-01,DRV-PAR-DOC-POL-012-00076,secondary_support,medium,0,3,ITM-POL-011-01911
CEL-PIC-POL-011-02-01-04,PIC-POL-011-02-01,DRV-CTBL-DOC-POL-012-003,secondary_support,medium,0,4,ITM-POL-011-00831
CEL-PIC-POL-011-02-02-01,PIC-POL-011-02-02,DRV-PAR-DOC-POL-012-00082,primary_support,high,1,1,ITM-POL-011-01897
CEL-PIC-POL-011-02-02-02,PIC-POL-011-02-02,DRV-PAR-DOC-POL-012-00074,secondary_support,medium,0,2,ITM-POL-011-01915
CEL-PIC-POL-011-03-01-01,PIC-POL-011-03-01,DRV-PAR-DOC-POL-012-00097,primary_support,high,1,1,ITM-POL-011-01926
CEL-PIC-POL-011-03-01-02,PIC-POL-011-03-01,DRV-PAR-DOC-POL-012-00098,secondary_support,medium,0,2,ITM-POL-011-01927
CEL-PIC-POL-011-03-02-01,PIC-POL-011-03-02,DRV-PAR-DOC-POL-012-00056,primary_support,high,1,1,ITM-POL-011-01928
CEL-PIC-POL-005-01-01-01,PIC-POL-005-01-01,DRV-PAR-DOC-POL-007-00017,primary_support,high,1,1,ITM-POL-005-01305
CEL-PIC-POL-005-01-01-02,PIC-POL-005-01-01,DRV-PAR-DOC-POL-007-00123,secondary_support,medium,0,2,ITM-POL-005-01364
CEL-PIC-POL-005-01-02-01,PIC-POL-005-01-02,DRV-PAR-DOC-POL-007-00131,primary_support,high,1,1,ITM-POL-005-01322
CEL-PIC-POL-005-01-02-02,PIC-POL-005-01-02,DRV-PAR-DOC-POL-007-00177,secondary_support,medium,0,2,ITM-POL-005-01363
CEL-PIC-POL-005-01-02-03,PIC-POL-005-01-02,DRV-PAR-DOC-POL-007-00130,secondary_support,medium,0,3,ITM-POL-005-01367
CEL-PIC-POL-005-01-02-04,PIC-POL-005-01-02,DRV-FIG-DOC-POL-007-008,secondary_support,medium,0,4,ITM-POL-005-00242
CEL-PIC-POL-005-02-01-01,PIC-POL-005-02-01,DRV-PAR-DOC-POL-007-00235,primary_support,high,1,1,ITM-POL-005-01384
CEL-PIC-POL-005-02-01-02,PIC-POL-005-02-01,DRV-PAR-DOC-POL-007-00231,secondary_support,medium,0,2,ITM-POL-005-01390
CEL-PIC-POL-005-02-01-03,PIC-POL-005-02-01,DRV-PAR-DOC-POL-007-00228,secondary_support,medium,0,3,ITM-POL-005-01391
CEL-PIC-POL-005-02-02-01,PIC-POL-005-02-02,DRV-PAR-DOC-POL-007-00237,primary_support,high,1,1,ITM-POL-005-01386
CEL-PIC-POL-005-03-01-01,PIC-POL-005-03-01,DRV-PAR-DOC-POL-007-00242,primary_support,high,1,1,ITM-POL-005-01392
CEL-PIC-POL-005-03-01-02,PIC-POL-005-03-01,DRV-PAR-DOC-POL-007-00244,secondary_support,medium,0,2,ITM-POL-005-01395
CEL-PIC-POL-005-03-02-01,PIC-POL-005-03-02,DRV-PAR-DOC-POL-007-00250,primary_support,high,1,1,ITM-POL-005-01393
CEL-PIC-POL-005-03-02-02,PIC-POL-005-03-02,DRV-PAR-DOC-POL-007-00249,secondary_support,medium,0,2,ITM-POL-005-01394
CEL-PIC-POL-005-03-02-03,PIC-POL-005-03-02,DRV-PAR-DOC-POL-007-00243,secondary_support,medium,0,3,ITM-POL-005-01397
