policy_item_group_member_id,policy_item_group_id,policy_item_id,member_role,is_representative,confidence,notes
PGM-PIG-POL-002-01-01,PIG-POL-002-01,ITM-POL-002-01081,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-002-01-02,PIG-POL-002-01,ITM-POL-002-01140,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-02-01,PIG-POL-002-02,ITM-POL-002-01179,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-002-02-02,PIG-POL-002-02,ITM-POL-002-01182,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-02-03,PIG-POL-002-02,ITM-POL-002-01188,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-02-04,PIG-POL-002-02,ITM-POL-002-01193,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-02-05,PIG-POL-002-02,ITM-POL-002-01194,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-03-01,PIG-POL-002-03,ITM-POL-002-01185,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-002-03-02,PIG-POL-002-03,ITM-POL-002-01187,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-03-03,PIG-POL-002-03,ITM-POL-002-01191,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-03-04,PIG-POL-002-03,ITM-POL-002-01192,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-04-01,PIG-POL-002-04,ITM-POL-002-01195,background_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-002-04-02,PIG-POL-002-04,ITM-POL-002-01196,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-011-01-01,PIG-POL-011-01,ITM-POL-011-01898,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-011-01-02,PIG-POL-011-01,ITM-POL-011-01912,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-011-01-03,PIG-POL-011-01,ITM-POL-011-01913,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-011-01-04,PIG-POL-011-01,ITM-POL-011-01916,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-011-02-01,PIG-POL-011-02,ITM-POL-011-01897,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-011-02-02,PIG-POL-011-02,ITM-POL-011-01902,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-011-02-03,PIG-POL-011-02,ITM-POL-011-01910,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-011-02-04,PIG-POL-011-02,ITM-POL-011-01911,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-011-02-05,PIG-POL-011-02,ITM-POL-011-01915,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-011-03-01,PIG-POL-011-03,ITM-POL-011-01926,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-011-03-02,PIG-POL-011-03,ITM-POL-011-01927,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-011-03-03,PIG-POL-011-03,ITM-POL-011-01928,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-01-01,PIG-POL-005-01,ITM-POL-005-01305,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-01-02,PIG-POL-005-01,ITM-POL-005-01322,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-005-01-03,PIG-POL-005-01,ITM-POL-005-01363,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-01-04,PIG-POL-005-01,ITM-POL-005-01364,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-01-05,PIG-POL-005-01,ITM-POL-005-01367,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-02-01,PIG-POL-005-02,ITM-POL-005-01384,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-02-02,PIG-POL-005-02,ITM-POL-005-01386,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-02-03,PIG-POL-005-02,ITM-POL-005-01390,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-02-04,PIG-POL-005-02,ITM-POL-005-01391,representative_item,1,high,sample_pack_2026-03-14
PGM-PIG-POL-005-03-01,PIG-POL-005-03,ITM-POL-005-01392,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-03-02,PIG-POL-005-03,ITM-POL-005-01393,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-03-03,PIG-POL-005-03,ITM-POL-005-01394,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-03-04,PIG-POL-005-03,ITM-POL-005-01395,supporting_item,0,high,sample_pack_2026-03-14
PGM-PIG-POL-005-03-05,PIG-POL-005-03,ITM-POL-005-01397,representative_item,1,high,sample_pack_2026-03-14
