policy_item_group_taxonomy_map_id,policy_item_group_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PGT-PIG-POL-002-01-strategy-STR-003,PIG-POL-002-01,strategy,STR-003,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-01-tech_domain-TD-001,PIG-POL-002-01,tech_domain,TD-001,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-01-tech_domain-TD-011,PIG-POL-002-01,tech_domain,TD-011,0,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-01-tech_subdomain-TSD-001-001,PIG-POL-002-01,tech_subdomain,TSD-001-001,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-01-tech_subdomain-TSD-011-001,PIG-POL-002-01,tech_subdomain,TSD-011-001,0,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-02-strategy-STR-003,PIG-POL-002-02,strategy,STR-003,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-02-tech_domain-TD-001,PIG-POL-002-02,tech_domain,TD-001,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-02-tech_domain-TD-011,PIG-POL-002-02,tech_domain,TD-011,0,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-02-tech_subdomain-TSD-001-005,PIG-POL-002-02,tech_subdomain,TSD-001-005,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-02-tech_subdomain-TSD-011-001,PIG-POL-002-02,tech_subdomain,TSD-011-001,0,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-03-strategy-STR-003,PIG-POL-002-03,strategy,STR-003,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-03-strategy-STR-010,PIG-POL-002-03,strategy,STR-010,0,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-03-tech_domain-TD-011,PIG-POL-002-03,tech_domain,TD-011,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-03-tech_subdomain-TSD-011-001,PIG-POL-002-03,tech_subdomain,TSD-011-001,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-03-tech_subdomain-TSD-001-003,PIG-POL-002-03,tech_subdomain,TSD-001-003,0,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-04-strategy-STR-003,PIG-POL-002-04,strategy,STR-003,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-04-tech_domain-TD-001,PIG-POL-002-04,tech_domain,TD-001,1,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-04-tech_domain-TD-011,PIG-POL-002-04,tech_domain,TD-011,0,high,reviewed,sample_pack_2026-03-14
PGT-PIG-POL-002-04-tech_subdomain-TSD-001-001,PIG-POL-002-04,tech_subdomain,TSD-001-001,1,high,reviewed,sample_pack_2026-03-14
