derived_to_display_map_id,derived_representation_id,display_text_id,display_role,is_primary,notes
DTD-DRV-PAR-DOC-POL-002-00038,DRV-PAR-DOC-POL-002-00038,DSP-POL-002-00001,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00037,DRV-PAR-DOC-POL-002-00037,DSP-POL-002-00002,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00039,DRV-PAR-DOC-POL-002-00039,DSP-POL-002-00003,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00015,DRV-PAR-DOC-POL-002-00015,DSP-POL-002-00004,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00113,DRV-PAR-DOC-POL-002-00113,DSP-POL-002-00005,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00219,DRV-PAR-DOC-POL-002-00219,DSP-POL-002-00006,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00125,DRV-PAR-DOC-POL-002-00125,DSP-POL-002-00007,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00234,DRV-PAR-DOC-POL-002-00234,DSP-POL-002-00008,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00175,DRV-PAR-DOC-POL-002-00175,DSP-POL-002-00009,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00050,DRV-PAR-DOC-POL-002-00050,DSP-POL-002-00010,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00044,DRV-PAR-DOC-POL-002-00044,DSP-POL-002-00011,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00088,DRV-PAR-DOC-POL-002-00088,DSP-POL-002-00012,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00040,DRV-PAR-DOC-POL-002-00040,DSP-POL-002-00013,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00233,DRV-PAR-DOC-POL-002-00233,DSP-POL-002-00014,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00143,DRV-PAR-DOC-POL-002-00143,DSP-POL-002-00015,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00151,DRV-PAR-DOC-POL-002-00151,DSP-POL-002-00016,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00157,DRV-PAR-DOC-POL-002-00157,DSP-POL-002-00017,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00108,DRV-PAR-DOC-POL-002-00108,DSP-POL-002-00018,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00163,DRV-PAR-DOC-POL-002-00163,DSP-POL-002-00019,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00141,DRV-PAR-DOC-POL-002-00141,DSP-POL-002-00020,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00070,DRV-PAR-DOC-POL-002-00070,DSP-POL-002-00021,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00185,DRV-PAR-DOC-POL-002-00185,DSP-POL-002-00022,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00150,DRV-PAR-DOC-POL-002-00150,DSP-POL-002-00023,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00180,DRV-PAR-DOC-POL-002-00180,DSP-POL-002-00024,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00102,DRV-PAR-DOC-POL-002-00102,DSP-POL-002-00025,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00069,DRV-PAR-DOC-POL-002-00069,DSP-POL-002-00026,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00164,DRV-PAR-DOC-POL-002-00164,DSP-POL-002-00027,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00201,DRV-PAR-DOC-POL-002-00201,DSP-POL-002-00028,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00016,DRV-PAR-DOC-POL-002-00016,DSP-POL-002-00029,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00166,DRV-PAR-DOC-POL-002-00166,DSP-POL-002-00030,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00232,DRV-PAR-DOC-POL-002-00232,DSP-POL-002-00031,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00032,DRV-PAR-DOC-POL-002-00032,DSP-POL-002-00032,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00110,DRV-PAR-DOC-POL-002-00110,DSP-POL-002-00033,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00019,DRV-PAR-DOC-POL-002-00019,DSP-POL-002-00034,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00182,DRV-PAR-DOC-POL-002-00182,DSP-POL-002-00035,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00062,DRV-PAR-DOC-POL-002-00062,DSP-POL-002-00036,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00116,DRV-PAR-DOC-POL-002-00116,DSP-POL-002-00037,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00139,DRV-PAR-DOC-POL-002-00139,DSP-POL-002-00038,policy_item_summary,1,
DTD-DRV-PAR-DOC-POL-002-00071,DRV-PAR-DOC-POL-002-00071,DSP-POL-002-00039,policy_item_summary,1,
