derived_to_source_asset_map_id,derived_representation_id,source_asset_id,mapping_type,is_primary,notes
DSA-DRV-CTBL-DOC-POL-002-001,DRV-CTBL-DOC-POL-002-001,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-CTBL-DOC-POL-002-002,DRV-CTBL-DOC-POL-002-002,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-CTBL-DOC-POL-002-003,DRV-CTBL-DOC-POL-002-003,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-CTBL-DOC-POL-002-013,DRV-CTBL-DOC-POL-002-013,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-FIG-DOC-POL-002-001,DRV-FIG-DOC-POL-002-001,SRC-DOC-POL-002-0002,direct_asset,1,
DSA-DRV-FIG-DOC-POL-002-002,DRV-FIG-DOC-POL-002-002,SRC-DOC-POL-002-0003,direct_asset,1,
DSA-DRV-PAR-DOC-POL-002-00001,DRV-PAR-DOC-POL-002-00001,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00002,DRV-PAR-DOC-POL-002-00002,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00003,DRV-PAR-DOC-POL-002-00003,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00004,DRV-PAR-DOC-POL-002-00004,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00005,DRV-PAR-DOC-POL-002-00005,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00006,DRV-PAR-DOC-POL-002-00006,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00007,DRV-PAR-DOC-POL-002-00007,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00008,DRV-PAR-DOC-POL-002-00008,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00009,DRV-PAR-DOC-POL-002-00009,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00010,DRV-PAR-DOC-POL-002-00010,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00011,DRV-PAR-DOC-POL-002-00011,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00012,DRV-PAR-DOC-POL-002-00012,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00013,DRV-PAR-DOC-POL-002-00013,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00014,DRV-PAR-DOC-POL-002-00014,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00015,DRV-PAR-DOC-POL-002-00015,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00016,DRV-PAR-DOC-POL-002-00016,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00017,DRV-PAR-DOC-POL-002-00017,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00018,DRV-PAR-DOC-POL-002-00018,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00019,DRV-PAR-DOC-POL-002-00019,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00020,DRV-PAR-DOC-POL-002-00020,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00021,DRV-PAR-DOC-POL-002-00021,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00022,DRV-PAR-DOC-POL-002-00022,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00023,DRV-PAR-DOC-POL-002-00023,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00024,DRV-PAR-DOC-POL-002-00024,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00025,DRV-PAR-DOC-POL-002-00025,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00026,DRV-PAR-DOC-POL-002-00026,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00027,DRV-PAR-DOC-POL-002-00027,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00028,DRV-PAR-DOC-POL-002-00028,SRC-DOC-POL-002-0001,location_bucket,1,
DSA-DRV-PAR-DOC-POL-002-00029,DRV-PAR-DOC-POL-002-00029,SRC-DOC-POL-002-0001,location_bucket,1,
