policy_item_evidence_link_id,policy_item_id,derived_representation_id,link_role,evidence_strength,is_primary,sort_order,notes
LNK-ITM-POL-002-00001,ITM-POL-002-00001,DRV-PAR-DOC-POL-002-00038,primary_support,medium,1,1,
LNK-ITM-POL-002-00002,ITM-POL-002-00002,DRV-PAR-DOC-POL-002-00037,primary_support,medium,1,1,
LNK-ITM-POL-002-00003,ITM-POL-002-00003,DRV-PAR-DOC-POL-002-00039,primary_support,medium,1,1,
LNK-ITM-POL-002-00004,ITM-POL-002-00004,DRV-PAR-DOC-POL-002-00015,primary_support,medium,1,1,
LNK-ITM-POL-002-00005,ITM-POL-002-00005,DRV-PAR-DOC-POL-002-00113,primary_support,medium,1,1,
LNK-ITM-POL-002-00006,ITM-POL-002-00006,DRV-PAR-DOC-POL-002-00219,primary_support,medium,1,1,
LNK-ITM-POL-002-00007,ITM-POL-002-00007,DRV-PAR-DOC-POL-002-00125,primary_support,medium,1,1,
LNK-ITM-POL-002-00008,ITM-POL-002-00008,DRV-PAR-DOC-POL-002-00234,primary_support,medium,1,1,
LNK-ITM-POL-002-00009,ITM-POL-002-00009,DRV-PAR-DOC-POL-002-00175,primary_support,medium,1,1,
LNK-ITM-POL-002-00010,ITM-POL-002-00010,DRV-PAR-DOC-POL-002-00050,primary_support,medium,1,1,
LNK-ITM-POL-002-00011,ITM-POL-002-00011,DRV-PAR-DOC-POL-002-00044,primary_support,medium,1,1,
LNK-ITM-POL-002-00012,ITM-POL-002-00012,DRV-PAR-DOC-POL-002-00088,primary_support,medium,1,1,
LNK-ITM-POL-002-00013,ITM-POL-002-00013,DRV-PAR-DOC-POL-002-00040,primary_support,medium,1,1,
LNK-ITM-POL-002-00014,ITM-POL-002-00014,DRV-PAR-DOC-POL-002-00233,primary_support,medium,1,1,
LNK-ITM-POL-002-00015,ITM-POL-002-00015,DRV-PAR-DOC-POL-002-00143,primary_support,medium,1,1,
LNK-ITM-POL-002-00016,ITM-POL-002-00016,DRV-PAR-DOC-POL-002-00151,primary_support,medium,1,1,
LNK-ITM-POL-002-00017,ITM-POL-002-00017,DRV-PAR-DOC-POL-002-00157,primary_support,medium,1,1,
LNK-ITM-POL-002-00018,ITM-POL-002-00018,DRV-PAR-DOC-POL-002-00108,primary_support,medium,1,1,
LNK-ITM-POL-002-00019,ITM-POL-002-00019,DRV-PAR-DOC-POL-002-00163,primary_support,medium,1,1,
LNK-ITM-POL-002-00020,ITM-POL-002-00020,DRV-PAR-DOC-POL-002-00141,primary_support,medium,1,1,
LNK-ITM-POL-002-00021,ITM-POL-002-00021,DRV-PAR-DOC-POL-002-00070,primary_support,medium,1,1,
LNK-ITM-POL-002-00022,ITM-POL-002-00022,DRV-PAR-DOC-POL-002-00185,primary_support,medium,1,1,
LNK-ITM-POL-002-00023,ITM-POL-002-00023,DRV-PAR-DOC-POL-002-00150,primary_support,medium,1,1,
LNK-ITM-POL-002-00024,ITM-POL-002-00024,DRV-PAR-DOC-POL-002-00180,primary_support,medium,1,1,
LNK-ITM-POL-002-00025,ITM-POL-002-00025,DRV-PAR-DOC-POL-002-00102,primary_support,medium,1,1,
LNK-ITM-POL-002-00026,ITM-POL-002-00026,DRV-PAR-DOC-POL-002-00069,primary_support,medium,1,1,
LNK-ITM-POL-002-00027,ITM-POL-002-00027,DRV-PAR-DOC-POL-002-00164,primary_support,medium,1,1,
LNK-ITM-POL-002-00028,ITM-POL-002-00028,DRV-PAR-DOC-POL-002-00201,primary_support,medium,1,1,
LNK-ITM-POL-002-00029,ITM-POL-002-00029,DRV-PAR-DOC-POL-002-00016,primary_support,medium,1,1,
LNK-ITM-POL-002-00030,ITM-POL-002-00030,DRV-PAR-DOC-POL-002-00166,primary_support,medium,1,1,
LNK-ITM-POL-002-00031,ITM-POL-002-00031,DRV-PAR-DOC-POL-002-00232,primary_support,medium,1,1,
LNK-ITM-POL-002-00032,ITM-POL-002-00032,DRV-PAR-DOC-POL-002-00032,primary_support,medium,1,1,
LNK-ITM-POL-002-00033,ITM-POL-002-00033,DRV-PAR-DOC-POL-002-00110,primary_support,medium,1,1,
LNK-ITM-POL-002-00034,ITM-POL-002-00034,DRV-PAR-DOC-POL-002-00019,primary_support,medium,1,1,
LNK-ITM-POL-002-00035,ITM-POL-002-00035,DRV-PAR-DOC-POL-002-00182,primary_support,medium,1,1,
LNK-ITM-POL-002-00036,ITM-POL-002-00036,DRV-PAR-DOC-POL-002-00062,primary_support,medium,1,1,
LNK-ITM-POL-002-00037,ITM-POL-002-00037,DRV-PAR-DOC-POL-002-00116,primary_support,medium,1,1,
LNK-ITM-POL-002-00038,ITM-POL-002-00038,DRV-PAR-DOC-POL-002-00139,primary_support,medium,1,1,
LNK-ITM-POL-002-00039,ITM-POL-002-00039,DRV-PAR-DOC-POL-002-00071,primary_support,medium,1,1,
LNK-ITM-POL-002-00040,ITM-POL-002-00040,DRV-PAR-DOC-POL-002-00136,primary_support,medium,1,1,
LNK-ITM-POL-002-00041,ITM-POL-002-00041,DRV-PAR-DOC-POL-002-00091,primary_support,medium,1,1,
LNK-ITM-POL-002-00042,ITM-POL-002-00042,DRV-PAR-DOC-POL-002-00198,primary_support,medium,1,1,
LNK-ITM-POL-002-00043,ITM-POL-002-00043,DRV-PAR-DOC-POL-002-00197,primary_support,medium,1,1,
LNK-ITM-POL-002-00044,ITM-POL-002-00044,DRV-PAR-DOC-POL-002-00120,primary_support,medium,1,1,
LNK-ITM-POL-002-00045,ITM-POL-002-00045,DRV-PAR-DOC-POL-002-00196,primary_support,medium,1,1,
LNK-ITM-POL-002-00046,ITM-POL-002-00046,DRV-PAR-DOC-POL-002-00186,primary_support,medium,1,1,
LNK-ITM-POL-002-00047,ITM-POL-002-00047,DRV-PAR-DOC-POL-002-00023,primary_support,medium,1,1,
LNK-ITM-POL-002-00048,ITM-POL-002-00048,DRV-PAR-DOC-POL-002-00021,primary_support,medium,1,1,
LNK-ITM-POL-002-00049,ITM-POL-002-00049,DRV-PAR-DOC-POL-002-00022,primary_support,medium,1,1,
LNK-ITM-POL-002-00050,ITM-POL-002-00050,DRV-PAR-DOC-POL-002-00137,primary_support,medium,1,1,
LNK-ITM-POL-002-00051,ITM-POL-002-00051,DRV-PAR-DOC-POL-002-00024,primary_support,medium,1,1,
LNK-ITM-POL-002-00052,ITM-POL-002-00052,DRV-PAR-DOC-POL-002-00224,primary_support,medium,1,1,
LNK-ITM-POL-002-00053,ITM-POL-002-00053,DRV-PAR-DOC-POL-002-00089,primary_support,medium,1,1,
LNK-ITM-POL-002-00054,ITM-POL-002-00054,DRV-PAR-DOC-POL-002-00025,primary_support,medium,1,1,
LNK-ITM-POL-002-00055,ITM-POL-002-00055,DRV-PAR-DOC-POL-002-00193,primary_support,medium,1,1,
LNK-ITM-POL-002-00056,ITM-POL-002-00056,DRV-PAR-DOC-POL-002-00229,primary_support,medium,1,1,
LNK-ITM-POL-002-00057,ITM-POL-002-00057,DRV-PAR-DOC-POL-002-00142,primary_support,medium,1,1,
LNK-ITM-POL-002-00058,ITM-POL-002-00058,DRV-PAR-DOC-POL-002-00145,primary_support,medium,1,1,
LNK-ITM-POL-002-00059,ITM-POL-002-00059,DRV-PAR-DOC-POL-002-00146,primary_support,medium,1,1,
LNK-ITM-POL-002-00060,ITM-POL-002-00060,DRV-PAR-DOC-POL-002-00014,primary_support,medium,1,1,
LNK-ITM-POL-002-00061,ITM-POL-002-00061,DRV-PAR-DOC-POL-002-00029,primary_support,medium,1,1,
LNK-ITM-POL-002-00062,ITM-POL-002-00062,DRV-PAR-DOC-POL-002-00107,primary_support,medium,1,1,
LNK-ITM-POL-002-00063,ITM-POL-002-00063,DRV-PAR-DOC-POL-002-00028,primary_support,medium,1,1,
LNK-ITM-POL-002-00064,ITM-POL-002-00064,DRV-PAR-DOC-POL-002-00205,primary_support,medium,1,1,
LNK-ITM-POL-002-00065,ITM-POL-002-00065,DRV-PAR-DOC-POL-002-00156,primary_support,medium,1,1,
LNK-ITM-POL-002-00066,ITM-POL-002-00066,DRV-PAR-DOC-POL-002-00172,primary_support,medium,1,1,
LNK-ITM-POL-002-00067,ITM-POL-002-00067,DRV-PAR-DOC-POL-002-00130,primary_support,medium,1,1,
LNK-ITM-POL-002-00068,ITM-POL-002-00068,DRV-PAR-DOC-POL-002-00192,primary_support,medium,1,1,
LNK-ITM-POL-002-00069,ITM-POL-002-00069,DRV-PAR-DOC-POL-002-00138,primary_support,medium,1,1,
LNK-ITM-POL-002-00070,ITM-POL-002-00070,DRV-PAR-DOC-POL-002-00169,primary_support,medium,1,1,
LNK-ITM-POL-002-00071,ITM-POL-002-00071,DRV-PAR-DOC-POL-002-00133,primary_support,medium,1,1,
LNK-ITM-POL-002-00072,ITM-POL-002-00072,DRV-PAR-DOC-POL-002-00101,primary_support,medium,1,1,
LNK-ITM-POL-002-00073,ITM-POL-002-00073,DRV-PAR-DOC-POL-002-00066,primary_support,medium,1,1,
LNK-ITM-POL-002-00074,ITM-POL-002-00074,DRV-PAR-DOC-POL-002-00097,primary_support,medium,1,1,
LNK-ITM-POL-002-00075,ITM-POL-002-00075,DRV-PAR-DOC-POL-002-00238,primary_support,medium,1,1,
LNK-ITM-POL-002-00076,ITM-POL-002-00076,DRV-PAR-DOC-POL-002-00128,primary_support,medium,1,1,
LNK-ITM-POL-002-00077,ITM-POL-002-00077,DRV-PAR-DOC-POL-002-00134,primary_support,medium,1,1,
LNK-ITM-POL-002-00078,ITM-POL-002-00078,DRV-PAR-DOC-POL-002-00100,primary_support,medium,1,1,
LNK-ITM-POL-002-00079,ITM-POL-002-00079,DRV-PAR-DOC-POL-002-00155,primary_support,medium,1,1,
LNK-ITM-POL-002-00080,ITM-POL-002-00080,DRV-PAR-DOC-POL-002-00018,primary_support,medium,1,1,
LNK-ITM-POL-002-00081,ITM-POL-002-00081,DRV-PAR-DOC-POL-002-00190,primary_support,medium,1,1,
LNK-ITM-POL-002-00082,ITM-POL-002-00082,DRV-PAR-DOC-POL-002-00183,primary_support,medium,1,1,
LNK-ITM-POL-002-00083,ITM-POL-002-00083,DRV-PAR-DOC-POL-002-00152,primary_support,medium,1,1,
LNK-ITM-POL-002-00084,ITM-POL-002-00084,DRV-PAR-DOC-POL-002-00099,primary_support,medium,1,1,
LNK-ITM-POL-002-00085,ITM-POL-002-00085,DRV-PAR-DOC-POL-002-00092,primary_support,medium,1,1,
LNK-ITM-POL-002-00086,ITM-POL-002-00086,DRV-PAR-DOC-POL-002-00111,primary_support,medium,1,1,
LNK-ITM-POL-002-00087,ITM-POL-002-00087,DRV-PAR-DOC-POL-002-00135,primary_support,medium,1,1,
LNK-ITM-POL-002-00088,ITM-POL-002-00088,DRV-PAR-DOC-POL-002-00161,primary_support,medium,1,1,
LNK-ITM-POL-002-00089,ITM-POL-002-00089,DRV-PAR-DOC-POL-002-00158,primary_support,medium,1,1,
LNK-ITM-POL-002-00090,ITM-POL-002-00090,DRV-PAR-DOC-POL-002-00184,primary_support,medium,1,1,
LNK-ITM-POL-002-00091,ITM-POL-002-00091,DRV-PAR-DOC-POL-002-00132,primary_support,medium,1,1,
LNK-ITM-POL-002-00092,ITM-POL-002-00092,DRV-PAR-DOC-POL-002-00094,primary_support,medium,1,1,
LNK-ITM-POL-002-00093,ITM-POL-002-00093,DRV-PAR-DOC-POL-002-00167,primary_support,medium,1,1,
LNK-ITM-POL-002-00094,ITM-POL-002-00094,DRV-PAR-DOC-POL-002-00017,primary_support,medium,1,1,
LNK-ITM-POL-002-00095,ITM-POL-002-00095,DRV-PAR-DOC-POL-002-00195,primary_support,medium,1,1,
LNK-ITM-POL-002-00096,ITM-POL-002-00096,DRV-PAR-DOC-POL-002-00140,primary_support,medium,1,1,
LNK-ITM-POL-002-00097,ITM-POL-002-00097,DRV-PAR-DOC-POL-002-00176,primary_support,medium,1,1,
LNK-ITM-POL-002-00098,ITM-POL-002-00098,DRV-PAR-DOC-POL-002-00095,primary_support,medium,1,1,
LNK-ITM-POL-002-00099,ITM-POL-002-00099,DRV-PAR-DOC-POL-002-00020,primary_support,medium,1,1,
LNK-ITM-POL-002-00100,ITM-POL-002-00100,DRV-PAR-DOC-POL-002-00074,primary_support,medium,1,1,
LNK-ITM-POL-002-00101,ITM-POL-002-00101,DRV-PAR-DOC-POL-002-00073,primary_support,medium,1,1,
LNK-ITM-POL-002-00102,ITM-POL-002-00102,DRV-PAR-DOC-POL-002-00189,primary_support,medium,1,1,
LNK-ITM-POL-002-00103,ITM-POL-002-00103,DRV-PAR-DOC-POL-002-00199,primary_support,medium,1,1,
LNK-ITM-POL-002-00104,ITM-POL-002-00104,DRV-PAR-DOC-POL-002-00200,primary_support,medium,1,1,
LNK-ITM-POL-002-00105,ITM-POL-002-00105,DRV-PAR-DOC-POL-002-00231,primary_support,medium,1,1,
LNK-ITM-POL-002-00106,ITM-POL-002-00106,DRV-PAR-DOC-POL-002-00204,primary_support,medium,1,1,
LNK-ITM-POL-002-00107,ITM-POL-002-00107,DRV-PAR-DOC-POL-002-00230,primary_support,medium,1,1,
LNK-ITM-POL-002-00108,ITM-POL-002-00108,DRV-PAR-DOC-POL-002-00212,primary_support,medium,1,1,
LNK-ITM-POL-002-00109,ITM-POL-002-00109,DRV-PAR-DOC-POL-002-00076,primary_support,medium,1,1,
LNK-ITM-POL-002-00110,ITM-POL-002-00110,DRV-PAR-DOC-POL-002-00031,primary_support,medium,1,1,
LNK-ITM-POL-002-00111,ITM-POL-002-00111,DRV-PAR-DOC-POL-002-00026,primary_support,medium,1,1,
LNK-ITM-POL-002-00112,ITM-POL-002-00112,DRV-PAR-DOC-POL-002-00187,primary_support,medium,1,1,
LNK-ITM-POL-002-00113,ITM-POL-002-00113,DRV-PAR-DOC-POL-002-00215,primary_support,medium,1,1,
LNK-ITM-POL-002-00114,ITM-POL-002-00114,DRV-PAR-DOC-POL-002-00218,primary_support,medium,1,1,
LNK-ITM-POL-002-00115,ITM-POL-002-00115,DRV-PAR-DOC-POL-002-00080,primary_support,medium,1,1,
LNK-ITM-POL-002-00116,ITM-POL-002-00116,DRV-PAR-DOC-POL-002-00191,primary_support,medium,1,1,
LNK-ITM-POL-003-00117,ITM-POL-003-00117,DRV-PAR-DOC-POL-004-00090,primary_support,medium,1,1,
LNK-ITM-POL-003-00118,ITM-POL-003-00118,DRV-PAR-DOC-POL-004-00076,primary_support,medium,1,1,
LNK-ITM-POL-003-00119,ITM-POL-003-00119,DRV-PAR-DOC-POL-004-00129,primary_support,medium,1,1,
LNK-ITM-POL-003-00120,ITM-POL-003-00120,DRV-PAR-DOC-POL-004-00099,primary_support,medium,1,1,
LNK-ITM-POL-003-00121,ITM-POL-003-00121,DRV-PAR-DOC-POL-004-00019,primary_support,medium,1,1,
LNK-ITM-POL-003-00122,ITM-POL-003-00122,DRV-PAR-DOC-POL-004-00096,primary_support,medium,1,1,
LNK-ITM-POL-003-00123,ITM-POL-003-00123,DRV-PAR-DOC-POL-004-00164,primary_support,medium,1,1,
LNK-ITM-POL-003-00124,ITM-POL-003-00124,DRV-PAR-DOC-POL-004-00089,primary_support,medium,1,1,
LNK-ITM-POL-003-00125,ITM-POL-003-00125,DRV-PAR-DOC-POL-004-00073,primary_support,medium,1,1,
LNK-ITM-POL-003-00126,ITM-POL-003-00126,DRV-PAR-DOC-POL-004-00137,primary_support,medium,1,1,
LNK-ITM-POL-003-00127,ITM-POL-003-00127,DRV-PAR-DOC-POL-004-00140,primary_support,medium,1,1,
