policy_item_taxonomy_map_id,policy_item_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PIT-ITM-POL-002-00001-STR-01,ITM-POL-002-00001,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00002-STR-01,ITM-POL-002-00002,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00003-STR-01,ITM-POL-002-00003,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00004-STR-01,ITM-POL-002-00004,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00005-STR-01,ITM-POL-002-00005,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00006-STR-01,ITM-POL-002-00006,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00007-STR-01,ITM-POL-002-00007,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00008-STR-01,ITM-POL-002-00008,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00009-STR-01,ITM-POL-002-00009,strategy,STR-003,1,high,auto_mapped,score=12
PIT-ITM-POL-002-00010-STR-01,ITM-POL-002-00010,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00011-STR-01,ITM-POL-002-00011,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00012-STR-01,ITM-POL-002-00012,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00013-STR-01,ITM-POL-002-00013,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00014-STR-01,ITM-POL-002-00014,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00015-STR-01,ITM-POL-002-00015,strategy,STR-003,1,high,auto_mapped,score=12
PIT-ITM-POL-002-00016-STR-01,ITM-POL-002-00016,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00017-STR-01,ITM-POL-002-00017,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00018-STR-01,ITM-POL-002-00018,strategy,STR-003,1,high,auto_mapped,score=12
PIT-ITM-POL-002-00019-STR-01,ITM-POL-002-00019,strategy,STR-003,1,high,auto_mapped,score=12
PIT-ITM-POL-002-00020-STR-01,ITM-POL-002-00020,strategy,STR-003,1,high,auto_mapped,score=12
PIT-ITM-POL-002-00021-STR-01,ITM-POL-002-00021,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00022-STR-01,ITM-POL-002-00022,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00023-STR-01,ITM-POL-002-00023,strategy,STR-013,1,high,auto_mapped,score=10
PIT-ITM-POL-002-00023-STR-02,ITM-POL-002-00023,strategy,STR-003,0,medium,auto_mapped,score=9
PIT-ITM-POL-002-00024-STR-01,ITM-POL-002-00024,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00025-STR-01,ITM-POL-002-00025,strategy,STR-003,1,high,auto_mapped,score=12
PIT-ITM-POL-002-00026-STR-01,ITM-POL-002-00026,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00027-STR-01,ITM-POL-002-00027,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00028-STR-01,ITM-POL-002-00028,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00029-STR-01,ITM-POL-002-00029,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00030-STR-01,ITM-POL-002-00030,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00031-STR-01,ITM-POL-002-00031,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00032-STR-01,ITM-POL-002-00032,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00033-STR-01,ITM-POL-002-00033,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00034-STR-01,ITM-POL-002-00034,strategy,STR-003,1,medium,auto_mapped,score=6
PIT-ITM-POL-002-00035-STR-01,ITM-POL-002-00035,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00036-STR-01,ITM-POL-002-00036,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00037-STR-01,ITM-POL-002-00037,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00038-STR-01,ITM-POL-002-00038,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00039-STR-01,ITM-POL-002-00039,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00040-STR-01,ITM-POL-002-00040,strategy,STR-003,1,medium,auto_mapped,score=9
PIT-ITM-POL-002-00041-STR-01,ITM-POL-002-00041,strategy,STR-003,1,medium,auto_mapped,score=9
