policy_item_taxonomy_map_id,policy_item_id,taxonomy_type,term_id,is_primary,confidence,review_status,notes
PIT-ITM-POL-002-00001-01,ITM-POL-002-00001,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00001-SUB-01,ITM-POL-002-00001,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00001-02,ITM-POL-002-00001,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00001-SUB-02,ITM-POL-002-00001,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00002-01,ITM-POL-002-00002,tech_domain,TD-001,1,high,auto_mapped,score=18; subdomain=TSD-001-001
PIT-ITM-POL-002-00002-SUB-01,ITM-POL-002-00002,tech_subdomain,TSD-001-001,1,high,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00003-01,ITM-POL-002-00003,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00003-SUB-01,ITM-POL-002-00003,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00003-02,ITM-POL-002-00003,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00003-SUB-02,ITM-POL-002-00003,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00004-01,ITM-POL-002-00004,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00004-SUB-01,ITM-POL-002-00004,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00004-02,ITM-POL-002-00004,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00004-SUB-02,ITM-POL-002-00004,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00005-01,ITM-POL-002-00005,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00005-SUB-01,ITM-POL-002-00005,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00005-02,ITM-POL-002-00005,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00005-SUB-02,ITM-POL-002-00005,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00006-01,ITM-POL-002-00006,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00006-SUB-01,ITM-POL-002-00006,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00006-02,ITM-POL-002-00006,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00006-SUB-02,ITM-POL-002-00006,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00007-01,ITM-POL-002-00007,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00007-SUB-01,ITM-POL-002-00007,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00007-02,ITM-POL-002-00007,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00007-SUB-02,ITM-POL-002-00007,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00008-01,ITM-POL-002-00008,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00008-SUB-01,ITM-POL-002-00008,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00008-02,ITM-POL-002-00008,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00008-SUB-02,ITM-POL-002-00008,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00009-01,ITM-POL-002-00009,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00009-SUB-01,ITM-POL-002-00009,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00009-02,ITM-POL-002-00009,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00009-SUB-02,ITM-POL-002-00009,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00010-01,ITM-POL-002-00010,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-005
PIT-ITM-POL-002-00010-SUB-01,ITM-POL-002-00010,tech_subdomain,TSD-001-005,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00010-02,ITM-POL-002-00010,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00010-SUB-02,ITM-POL-002-00010,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00011-01,ITM-POL-002-00011,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00011-SUB-01,ITM-POL-002-00011,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00011-02,ITM-POL-002-00011,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00011-SUB-02,ITM-POL-002-00011,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00012-01,ITM-POL-002-00012,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00012-SUB-01,ITM-POL-002-00012,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00012-02,ITM-POL-002-00012,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00012-SUB-02,ITM-POL-002-00012,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00013-01,ITM-POL-002-00013,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00013-SUB-01,ITM-POL-002-00013,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00013-02,ITM-POL-002-00013,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00013-SUB-02,ITM-POL-002-00013,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00014-01,ITM-POL-002-00014,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00014-SUB-01,ITM-POL-002-00014,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00014-02,ITM-POL-002-00014,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00014-SUB-02,ITM-POL-002-00014,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00015-01,ITM-POL-002-00015,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00015-SUB-01,ITM-POL-002-00015,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00015-02,ITM-POL-002-00015,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-005
PIT-ITM-POL-002-00015-SUB-02,ITM-POL-002-00015,tech_subdomain,TSD-011-005,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00016-01,ITM-POL-002-00016,tech_domain,TD-005,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-002-00017-01,ITM-POL-002-00017,tech_domain,TD-005,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-002-00018-01,ITM-POL-002-00018,tech_domain,TD-011,1,high,auto_mapped,score=10; subdomain=TSD-011-001
PIT-ITM-POL-002-00018-SUB-01,ITM-POL-002-00018,tech_subdomain,TSD-011-001,1,high,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00019-01,ITM-POL-002-00019,tech_domain,TD-011,1,high,auto_mapped,score=13; subdomain=TSD-011-002
PIT-ITM-POL-002-00019-SUB-01,ITM-POL-002-00019,tech_subdomain,TSD-011-002,1,high,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00020-01,ITM-POL-002-00020,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00020-SUB-01,ITM-POL-002-00020,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00020-02,ITM-POL-002-00020,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00020-SUB-02,ITM-POL-002-00020,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00021-01,ITM-POL-002-00021,tech_domain,TD-011,1,high,auto_mapped,score=15; subdomain=TSD-011-001
PIT-ITM-POL-002-00021-SUB-01,ITM-POL-002-00021,tech_subdomain,TSD-011-001,1,high,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00022-01,ITM-POL-002-00022,tech_domain,TD-005,1,high,auto_mapped,score=11; subdomain=
PIT-ITM-POL-002-00023-01,ITM-POL-002-00023,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00023-SUB-01,ITM-POL-002-00023,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00023-02,ITM-POL-002-00023,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00023-SUB-02,ITM-POL-002-00023,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00024-01,ITM-POL-002-00024,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00024-SUB-01,ITM-POL-002-00024,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00024-02,ITM-POL-002-00024,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00024-SUB-02,ITM-POL-002-00024,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00025-01,ITM-POL-002-00025,tech_domain,TD-011,1,high,auto_mapped,score=10; subdomain=TSD-011-001
PIT-ITM-POL-002-00025-SUB-01,ITM-POL-002-00025,tech_subdomain,TSD-011-001,1,high,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00026-01,ITM-POL-002-00026,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-001
PIT-ITM-POL-002-00026-SUB-01,ITM-POL-002-00026,tech_subdomain,TSD-001-001,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00026-02,ITM-POL-002-00026,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00026-SUB-02,ITM-POL-002-00026,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
PIT-ITM-POL-002-00027-01,ITM-POL-002-00027,tech_domain,TD-001,1,medium,auto_mapped,score=7; subdomain=TSD-001-003
PIT-ITM-POL-002-00027-SUB-01,ITM-POL-002-00027,tech_subdomain,TSD-001-003,1,medium,auto_mapped,derived_from=TD-001
PIT-ITM-POL-002-00027-02,ITM-POL-002-00027,tech_domain,TD-011,0,medium,auto_mapped,score=7; subdomain=TSD-011-001
PIT-ITM-POL-002-00027-SUB-02,ITM-POL-002-00027,tech_subdomain,TSD-011-001,0,medium,auto_mapped,derived_from=TD-011
